DATE,IST_PRC,IST_RPPI,MG_RT,IST_FGR_SL,IST_PRP_SL,IST_MRTG_SL,CNSTR_TRST,RNT_CPI,IST_CPI,TR_PPI,USD_RT,NEMP_RT,IST_CNST_PT,IST_OCCP_PT,IST_CNST_PT_2,IST_OCCP_PT_2,IST_CNST_PT_3,IST_OCCP_PT_3,IST_CNST_PT_6,IST_OCCP_PT_6,IST_CNST_PT_9,IST_OCCP_PT_9
6.06.2015,1.172,2.008,3.264,12.893,0.167,-0.491,-1.379,0.581,-0.515,0.254,2.079,3.226,7.8,39.831,-2.256,-10.611,33.009,16.153,21.853,19.713,-9.719,38.273
7.07.2015,2.115,1.25,3.498,-24.652,-20.498,-27.449,-5.197,0.778,-0.045,-0.318,-0.243,2.083,-9.836,-27.346,2.371,-4.047,-2.256,-10.611,-30.621,-9.731,-47.891,-43.243
8.08.2015,-0.119,0.598,2.484,11.275,9.842,17.448,-2.378,0.743,0.394,0.984,5.602,3.061,-5.956,9.686,7.8,39.831,2.371,-4.047,-4.861,-11.194,63.259,83.251
9.09.2015,3.751,1.549,7.847,-6.811,-15.255,-23.034,-5.92,0.836,1.196,1.525,5.523,1.98,-26.867,-6.308,-9.836,-27.346,7.8,39.831,33.009,16.153,21.853,19.713
10.10.2015,1.958,1.672,5.375,39.037,15.468,4.671,-5.27,0.715,1.555,-0.201,-2.436,1.942,4.831,0.09,-5.956,9.686,-9.836,-27.346,-2.256,-10.611,-30.621,-9.731
11.11.2015,2.52,1.824,-1.238,-9.872,8.739,5.591,6.875,0.724,0.578,-1.423,-1.989,0,30.435,1.076,-26.867,-6.308,-5.956,9.686,2.371,-4.047,-4.861,-11.194
12.12.2015,0.156,1.132,-0.85,38.976,32.432,36.647,-2.635,0.451,0.007,-0.328,1.599,2.857,43.8,50.577,4.831,0.09,-26.867,-6.308,7.8,39.831,33.009,16.153
1.01.2016,-0.469,1.585,1.906,-49.028,-41.621,-35.588,8.722,0.773,1.356,0.546,3.076,2.778,-13.166,-29.405,30.435,1.076,4.831,0.09,-9.836,-27.346,-2.256,-10.611
2.02.2016,0.417,1.239,1.212,11.446,16.849,16.588,3.782,0.538,0.014,-0.203,-2.205,-1.802,1.281,14.942,43.8,50.577,30.435,1.076,-5.956,9.686,2.371,-4.047
3.03.2016,1.46,1.213,0.052,5.045,21.227,28.832,2.433,0.476,-0.039,0.404,-1.664,-7.339,-17.712,6.536,-13.166,-29.405,43.8,50.577,-26.867,-6.308,7.8,39.831
4.04.2016,1.827,1.467,-0.875,-7.376,-11.167,-17.438,0.989,0.856,1.056,0.518,-1.971,-7.921,-11.915,-16.155,1.281,14.942,-13.166,-29.405,4.831,0.09,-9.836,-27.346
5.05.2016,1.733,1.048,-2.572,-5.37,10.754,4.255,-4.029,0.769,0.583,1.481,3.24,1.075,-14.836,12.195,-17.712,6.536,1.281,14.942,30.435,1.076,-5.956,9.686
6.06.2016,0.638,0.786,-0.878,-0.783,-5.694,4.136,-0.938,0.832,0.298,0.414,-0.328,8.511,14.176,-2.029,-11.915,-16.155,-17.712,6.536,43.8,50.577,-26.867,-6.308
7.07.2016,3.36,0.672,-1.207,-40.828,-41.669,-46.786,-0.533,0.733,0.746,0.21,1.391,4.902,-27.898,-45.784,-14.836,12.195,-11.915,-16.155,-13.166,-29.405,4.831,0.09
8.08.2016,1.682,1.421,-5.93,30,47.047,57.132,-5.677,0.871,-0.129,0.078,0.18,5.607,36.826,41.746,14.176,-2.029,-14.836,12.195,1.281,14.942,30.435,1.076
9.09.2016,0.679,0.69,-5.985,-17.179,-2.645,14.219,-1.236,0.866,0.459,0.295,-0.094,0,-2.805,-16.362,-27.898,-45.784,14.176,-2.029,-17.712,6.536,43.8,50.577
10.10.2016,-0.978,0.464,0.223,30.96,23.791,17.934,-5.557,0.866,1.409,0.839,3.644,4.425,11.31,32.566,36.826,41.746,-27.898,-45.784,-11.915,-16.155,-13.166,-29.405
11.11.2016,0.339,0.441,-3.487,40.898,6.661,3.805,-6.087,0.612,0.434,2,6.502,2.542,5.116,29.688,-2.805,-16.362,36.826,41.746,-14.836,12.195,1.281,14.942
12.12.2016,0.654,1.128,-2.296,-1.846,11.769,1.587,-3.197,0.738,1.554,2.979,6.779,4.959,45.133,10.843,11.31,32.566,-2.805,-16.362,14.176,-2.029,-17.712,6.536
1.01.2017,-0.171,0.671,0.249,-24.615,-37.142,-31.009,8.927,0.842,1.932,3.977,7.049,2.362,-43.5,-17.572,5.116,29.688,11.31,32.566,-27.898,-45.784,-11.915,-16.155
2.02.2017,0.673,1.118,-0.655,3.855,12.501,15.545,7.977,0.554,0.782,1.263,-1.674,-3.077,15.854,-6.447,45.133,10.843,5.116,29.688,36.826,41.746,-14.836,12.195
3.03.2017,1.658,0.883,-2.826,26.419,26.205,33.31,16.471,0.477,1.063,1.036,-0.175,-7.143,7.298,6.186,-43.5,-17.572,45.133,10.843,-2.805,-16.362,14.176,-2.029
4.04.2017,0.513,0.382,1.981,-1.382,-10.591,-11.541,1.423,0.536,1.48,0.758,-0.331,-10.256,-13.277,-2.876,15.854,-6.447,-43.5,-17.572,11.31,32.566,-27.898,-45.784
5.05.2017,1.088,0.631,2.395,-7.18,1.101,-9.923,-1.178,0.761,0.588,0.517,-2.462,-2.857,20.06,0.911,7.298,6.186,15.854,-6.447,5.116,29.688,36.826,41.746
6.06.2017,-0.06,0.09,1.516,70.377,-11.421,-9.548,-2.005,0.617,-0.25,0.071,-1.258,0,141.897,-9.105,-13.277,-2.876,7.298,6.186,45.133,10.843,-2.805,-16.362
7.07.2017,0.404,-0.159,2.517,-41.528,0.629,-5.845,-3.627,0.879,0.342,0.721,1.161,4.902,-61.672,-24.421,20.06,0.911,-13.277,-2.876,-43.5,-17.572,11.31,32.566
8.08.2017,0.217,-0.139,3.953,-0.758,3.39,0.519,0.769,0.759,0.376,0.85,-1.331,-0.935,-3.659,37.13,141.897,-9.105,20.06,0.911,15.854,-6.447,5.116,29.688
9.09.2017,-0.33,0.299,3.026,52.099,25.54,4.856,-8.392,1.088,0.648,0.24,-1.265,0,240.717,-26.518,-61.672,-24.421,141.897,-9.105,7.298,6.186,45.133,10.843
10.10.2017,1.231,0.298,1.376,65.747,-10.928,1.78,-3.605,0.834,2.09,1.708,5.601,-2.83,-92.095,34.022,-3.659,37.13,-61.672,-24.421,-13.277,-2.876,-43.5,-17.572
11.11.2017,-0.514,-0.129,0.556,-44.89,-4.625,-0.341,-2.695,0.851,1.288,2.016,5.919,0,-15.927,17.194,240.717,-26.518,-3.659,37.13,20.06,0.911,15.854,-6.447
12.12.2017,1.337,0.387,3.099,10.165,15.011,-7.034,-4.082,0.649,0.677,1.368,-0.808,0.971,68.012,22.699,-92.095,34.022,240.717,-26.518,141.897,-9.105,7.298,6.186
1.01.2018,2.136,-0.099,4.555,-32.045,-28.763,-16.145,16.911,0.82,0.672,0.986,-1.959,3.846,0.739,-34.405,-15.927,17.194,-92.095,34.022,-61.672,-24.421,-13.277,-2.876
2.02.2018,1.082,0.376,3.837,10.826,-0.545,-5.015,1.844,0.551,0.73,2.681,0.151,-1.481,-7.706,-9.2,68.012,22.699,-15.927,17.194,-3.659,37.13,20.06,0.911
3.03.2018,-0.89,-0.306,0.732,-7.947,15.184,16.57,-1.346,0.602,1.21,1.536,2.722,-4.887,44.135,20.549,0.739,-34.405,68.012,22.699,240.717,-26.518,141.897,-9.105
4.04.2018,0.911,0.93,0.592,21.583,-6.947,-16.579,1.647,0.738,1.828,2.602,4.462,-5.138,-7.31,5.656,-7.706,-9.2,0.739,-34.405,-92.095,34.022,-61.672,-24.421
5.05.2018,0.509,0.657,-6.436,26.331,15.2,20.864,-3.726,0.711,1.407,3.794,8.882,1.042,55.804,0.743,44.135,20.549,-7.706,-9.2,-15.927,17.194,-3.659,37.13
6.06.2018,-0.051,0.224,-5.862,-10.539,2.423,27.77,-4.844,0.739,2.399,3.029,4.85,4.742,-12.798,-26.421,-7.31,5.656,44.135,20.549,68.012,22.699,240.717,-26.518
7.07.2018,-0.058,-0.428,28.797,25.131,-5.081,-35.797,-0.24,1.165,0.683,1.767,2.588,5.906,0.876,29.388,55.804,0.743,-7.31,5.656,0.739,-34.405,-92.095,34.022
8.08.2018,0.988,-0.244,12.683,19.351,-21.745,-58.393,-13.307,1.036,2.285,6.601,20.687,3.346,-47.123,-32.791,-12.798,-26.421,55.804,0.743,-7.706,-9.2,-15.927,17.194
9.09.2018,2.176,-0.294,32.427,57.669,32.46,-10.519,-22.273,0.905,5.722,10.882,11.111,2.518,57.7,17.878,0.876,29.388,-12.798,-26.421,44.135,20.549,68.012,22.699
10.10.2018,2.696,1.03,15.088,26.904,34.329,16.157,-2.95,0.82,2.532,0.91,-7.971,1.754,-42.839,31.8,-47.123,-32.791,0.876,29.388,-7.31,5.656,0.739,-34.405
11.11.2018,-1.266,0.223,-1.225,-15.813,-40.868,-54.39,-5.073,0.623,-1.541,-2.531,-8.292,6.034,2.961,12.918,57.7,17.878,-47.123,-32.791,55.804,0.743,-7.706,-9.2
12.12.2018,0.549,-1.124,-2.82,12.903,65.282,48.024,-5.894,0.507,-0.272,-2.222,-1.254,9.756,55.752,-1.775,-42.839,31.8,57.7,17.878,-12.798,-26.421,44.135,20.549
