Id,Neighborhood,Date,Price,NetArea,GrossArea,NumberOfRoom,AgeOfBuilding,LocatedFloor,TotalFloor,Bathroom,Balcony,Furniture,RentIncome
694956497,Feneryolu ,23.05.2019,680.00,75.00,90.00,3.00,0.00,2.00,12.00,1.00,0.00,0.00,0.00
663255373,Goztepe ,28.05.2019,680.00,117.00,130.00,4.00,30.00,2.00,3.00,1.00,1.00,0.00,1.00
664865698,Zuhtupasa ,25.02.2019,685.00,68.00,98.00,3.00,0.00,3.00,3.00,1.00,1.00,0.00,0.00
653216937,Goztepe ,29.01.2019,685.00,75.00,110.00,3.00,0.00,8.00,9.00,1.00,1.00,0.00,0.00
677041921,Goztepe ,26.05.2019,685.00,70.00,105.00,3.00,0.00,8.00,8.00,1.00,1.00,0.00,0.00
691701462,Feneryolu ,9.05.2019,685.00,75.00,90.00,3.00,0.00,3.00,5.00,1.00,0.00,0.00,0.00
692814305,Goztepe ,14.05.2019,685.00,75.00,110.00,3.00,0.00,8.00,9.00,1.00,1.00,0.00,0.00
641881079,Goztepe ,3.05.2019,685.00,88.00,110.00,4.00,0.00,2.00,8.00,2.00,0.00,0.00,0.00
262999997,Goztepe ,9.05.2019,685.00,80.00,100.00,4.00,0.00,7.00,10.00,2.00,1.00,0.00,0.00
682860774,Goztepe ,11.05.2019,685.00,80.00,105.00,3.00,0.00,8.00,9.00,2.00,1.00,0.00,0.00
680564164,Goztepe ,6.05.2019,685.00,83.00,110.00,4.00,0.00,10.00,10.00,1.00,0.00,0.00,0.00
692811158,Goztepe ,14.05.2019,685.00,75.00,110.00,3.00,0.00,8.00,9.00,1.00,1.00,0.00,0.00
694245385,Goztepe ,20.05.2019,685.00,80.00,110.00,3.00,0.00,8.00,10.00,1.00,1.00,0.00,0.00
682056917,Feneryolu ,9.05.2019,685.00,108.00,122.00,3.00,0.00,0.00,12.00,1.00,1.00,0.00,0.00
653508724,Goztepe ,29.05.2019,685.00,78.00,100.00,3.00,0.00,7.00,9.00,2.00,1.00,0.00,0.00
692978961,Goztepe ,15.05.2019,685.00,75.00,100.00,3.00,0.00,8.00,9.00,1.00,1.00,0.00,0.00
691367149,Goztepe ,8.05.2019,685.00,80.00,119.00,3.00,0.00,8.00,9.00,1.00,1.00,0.00,0.00
676283366,Feneryolu ,27.05.2019,690.00,70.00,85.00,3.00,0.00,3.00,7.00,1.00,0.00,0.00,0.00
643693695,Egitim ,10.05.2019,690.00,80.00,105.00,3.00,2.00,10.00,11.00,2.00,1.00,0.00,1.00
670634387,Goztepe ,10.05.2019,690.00,90.00,115.00,4.00,28.00,1.00,8.00,1.00,1.00,0.00,0.00
691986679,Goztepe ,11.05.2019,690.00,86.00,115.00,3.00,0.00,8.00,9.00,2.00,1.00,0.00,0.00
621574156,Goztepe ,4.05.2019,690.00,76.00,95.00,3.00,0.00,8.00,9.00,1.00,1.00,0.00,0.00
688020901,Goztepe ,26.05.2019,690.00,80.00,95.00,4.00,0.00,5.00,7.00,1.00,0.00,0.00,0.00
665898146,Goztepe ,4.05.2019,690.00,76.00,95.00,3.00,0.00,7.00,9.00,1.00,1.00,0.00,0.00
662096409,Zuhtupasa ,19.05.2019,690.00,65.00,80.00,3.00,0.00,5.00,10.00,1.00,1.00,0.00,0.00
674304687,Feneryolu ,22.05.2019,690.00,100.00,125.00,4.00,25.00,2.00,7.00,1.00,1.00,0.00,0.00
668010666,Feneryolu ,3.05.2019,695.00,70.00,85.00,3.00,7.00,5.00,8.00,1.00,1.00,0.00,1.00
694268651,Fenerbahce ,20.05.2019,695.00,45.00,55.00,2.00,3.00,0.00,12.00,1.00,0.00,0.00,1.00
